OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
STARLINK-37116,2026-053G,68213,PAY,+,US,2026-03-17,AFWTR,,93.91,97.28,467,464,,,EA,ORB
STARLINK-36890,2026-054AC,68258,PAY,+,US,2026-03-17,AFETR,,93.85,53.16,463,462,,,EA,ORB
CENTISPACE-2 S7,2026-060G,68356,PAY,+,PRC,2026-03-22,YSLA,,100.81,54.99,811,782,,,EA,ORB
SUPERVIEW NEO-2 05,2026-062A,68377,PAY,+,PRC,2026-03-25,TAISC,,94.75,97.44,508,506,,,EA,ORB
SUPERVIEW NEO-2 06,2026-062B,68378,PAY,+,PRC,2026-03-25,TAISC,,94.75,97.44,508,506,,,EA,ORB
KUIPER-00131,2026-072A,68573,PAY,+,US,2026-04-04,AFETR,,97.30,51.90,630,629,,,EA,ORB
STARLINK-36187,2026-073M,68613,PAY,+,US,2026-04-07,AFWTR,,93.91,97.28,467,464,,,EA,ORB
CYGNUS NG-24,2026-079A,68689,PAY,+,US,2026-04-11,AFETR,,92.96,51.63,423,416,,,25544,DOC
PROGRESS-MS 34,2026-093A,68837,PAY,+,CIS,2026-04-25,TYMSC,,92.96,51.63,423,416,,,25544,DOC
STARLINK-36965,2026-099L,68961,PAY,+,US,2026-05-01,AFETR,,93.85,53.16,464,462,,,EA,ORB
IRIDE-MS2-HEO-14,2026-100G,68986,PAY,+,IT,2026-05-03,AFWTR,,96.55,97.72,596,591,,,EA,ORB
BALKAN-2,2026-100AW,69024,PAY,+,BUL,2026-05-03,AFWTR,,94.69,97.39,507,500,,,EA,ORB
STARLINK-36286,2026-111Q,69162,PAY,+,US,2026-05-21,AFETR,,93.85,53.16,464,462,,,EA,ORB
GUOWANG TEST OBJECT B,2026-120B,69321,PAY,+,PRC,2026-05-30,XICLF,,93.88,55.00,471,458,,,EA,ORB
STARLINK-37597,2026-123D,69356,PAY,+,US,2026-06-04,AFETR,,93.85,53.16,464,461,,,EA,ORB
